Provider Number,Hospital Name,Address 1,Address 2,Address 3,City,State,ZIP Code,County Name,Phone Number,Death from serious treatable complications after surgery,Footnote - Death from serious treatable complications after surgery,Collapsed lung due to medical treatment,Footnote - Collapsed lung due to medical treatment,Serious blood clots after surgery,Footnote - Serious blood clots after surgery,A wound that splits open after surgery,Footnote - A wound that splits open after surgery,Accidental cuts and tears from medical treatment,Footnote - Accidental cuts and tears from medical treatment,Serious Complications,Footnote - Serious Complications,Number of Patients - Death from serious treatable complications after surgery,Rate - Death from serious treatable complications after surgery,Lower Estimate - Death from serious treatable complications after surgery,Higher Estimate - Death from serious treatable complications after surgery,Number of Patients - Collapsed lung due to medical treatment,Rate - Collapsed lung due to medical treatment,Lower Estimate - Collapsed lung due to medical treatment,Higher Estimate - Collapsed lung due to medical treatment,Number of Patients - Serious blood clots after surgery,Rate - Serious blood clots after surgery,Lower Estimate - Serious blood clots after surgery,Higher Estimate - Serious blood clots after surgery,Number of Patients - A wound that splits open after surgery,Rate - A wound that splits open after surgery,Lower Estimate - A wound that splits open after surgery,Higher Estimate - A wound that splits open after surgery,Number of Patients - Accidental cuts and tears from medical treatment,Rate - Accidental cuts and tears from medical treatment,Lower Estimate - Accidental cuts and tears from medical treatment,Higher Estimate - Accidental cuts and tears from medical treatment,Number of Patients - Serious Complications,Rate - Serious Complications,Lower Estimate - Serious Complications,Higher Estimate - Serious Complications
010021,DALE MEDICAL CENTER,126 HOSPITAL AVE,,,OZARK,AL,36360,DALE,3347742601,Number of Cases Too Small,Medicare requires hospitals to have at least 25 qualifying cases to have their results reported. This hospital had less than 25 cases.,No Different than U.S. National Rate,,No Different than U.S. National Rate,,Number of Cases Too Small*,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,8,Not Available,Not Available,Not Available,1559,0.27,0.00,0.66,166,5.95,1.36,10.54,16,Not Applicable,Not Applicable,Not Applicable,1618,1.98,0.00,4.08,Not Available,Not Available,Not Available,Not Available
010022,CHEROKEE MEDICAL CENTER,400 NORTHWOOD DR,,,CENTRE,AL,35960,CHEROKEE,2569275531,Not Available,No data are available from the hospital for this measure.,No Different than U.S. National Rate,,No Different than U.S. National Rate,,Number of Cases Too Small*,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,Not Available,Not Available,Not Available,Not Available,1116,0.32,0.00,0.75,68,4.43,0.00,9.47,17,Not Applicable,Not Applicable,Not Applicable,1137,1.68,0.00,3.86,Not Available,Not Available,Not Available,Not Available
010023,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,,,MONTGOMERY,AL,36116,MONTGOMERY,3342882100,Worse than U.S. National Rate,,No Different than U.S. National Rate,,Better than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,170,155.29,121.72,188.86,11283,0.24,0.00,0.49,4551,2.59,0.71,4.47,413,0.91,0.00,2.38,11648,2.02,1.18,2.86,Not Available,Not Available,Not Available,Not Available
010024,JACKSON HOSPITAL & CLINIC INC,1725 PINE STREET,,,MONTGOMERY,AL,36106,MONTGOMERY,3342938000,No Different than U.S. National Rate,,No Different than U.S. National Rate,,Better than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,95,124.56,83.28,165.84,9776,0.26,0.00,0.53,2888,2.12,0.00,4.45,237,0.50,0.00,2.17,10061,2.19,1.19,3.19,Not Available,Not Available,Not Available,Not Available
010025,GEORGE H. LANIER MEMORIAL HOSPITAL,4800 48TH ST,,,VALLEY,AL,36854,CHAMBERS,3347561400,Number of Cases Too Small,Medicare requires hospitals to have at least 25 qualifying cases to have their results reported. This hospital had less than 25 cases.,No Different than U.S. National Rate,,No Different than U.S. National Rate,,Worse than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,11,Not Available,Not Available,Not Available,2544,0.26,0.00,0.63,333,2.31,0.00,5.94,78,3.75,1.71,5.79,2717,1.93,0.21,3.65,Not Available,Not Available,Not Available,Not Available
010027,ELBA GENERAL HOSPITAL,987 DRAYTON STREET,,,ELBA,AL,36323,COFFEE,3348972257,Not Available,No data are available from the hospital for this measure.,No Different than U.S. National Rate,,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,No Different than U.S. National Rate,,No Different than U.S. National Rate,,Not Available,Not Available,Not Available,Not Available,575,0.34,0.00,0.77,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,594,1.95,0.00,4.30,Not Available,Not Available,Not Available,Not Available
010029,EAST ALABAMA MEDICAL CENTER AND SNF,2000 PEPPERELL PARKWAY,,,OPELIKA,AL,36801,LEE,3347493411,No Different than U.S. National Rate,,No Different than U.S. National Rate,,Better than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,145,141.06,104.33,177.79,11112,0.33,0.08,0.58,4139,2.39,0.51,4.27,362,1.55,0.00,3.10,11457,2.58,1.70,3.46,Not Available,Not Available,Not Available,Not Available
010032,WEDOWEE HOSPITAL,209 NORTH MAIN STREET,,,WEDOWEE,AL,36278,RANDOLPH,2563572111,Not Available,No data are available from the hospital for this measure.,No Different than U.S. National Rate,,Number of Cases Too Small*,,Not Applicable,No data are available from the hospital for this measure.,No Different than U.S. National Rate,,No Different than U.S. National Rate,,Not Available,Not Available,Not Available,Not Available,695,0.32,0.00,0.75,3,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,788,1.90,0.00,4.21,Not Available,Not Available,Not Available,Not Available
010033,UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET,,,BIRMINGHAM,AL,35233,JEFFERSON,2059344011,Worse than U.S. National Rate,,Worse than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,594,157.99,137.59,178.39,24057,0.71,0.51,0.91,10804,5.36,4.30,6.42,1617,0.40,0.00,1.38,26364,2.11,1.64,2.58,Not Available,Not Available,Not Available,Not Available
010034,COMMUNITY HOSPITAL INC,805 FRIENDSHIP ROAD,,,TALLASSEE,AL,36078,ELMORE,3342836541,Number of Cases Too Small,Medicare requires hospitals to have at least 25 qualifying cases to have their results reported. This hospital had less than 25 cases.,No Different than U.S. National Rate,,No Different than U.S. National Rate,,Number of Cases Too Small*,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,7,Not Available,Not Available,Not Available,1450,0.30,0.00,0.71,103,4.11,0.00,8.95,21,Not Applicable,Not Applicable,Not Applicable,1596,1.98,0.00,4.08,Not Available,Not Available,Not Available,Not Available
010035,CULLMAN REGIONAL MEDICAL CENTER,1912 ALABAMA HIGHWAY 157,,,CULLMAN,AL,35058,CULLMAN,2567372000,Worse than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,54,165.41,120.76,210.06,6191,0.25,0.00,0.56,1550,2.81,0.00,5.69,173,0.58,0.00,2.38,6302,1.74,0.49,2.99,Not Available,Not Available,Not Available,Not Available
010036,ANDALUSIA REGIONAL HOSPITAL,849 SOUTH THREE NOTCH STREET,,,ANDALUSIA,AL,36420,COVINGTON,3342228466,Number of Cases Too Small,Medicare requires hospitals to have at least 25 qualifying cases to have their results reported. This hospital had less than 25 cases.,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,19,Not Available,Not Available,Not Available,3265,0.27,0.00,0.66,540,5.08,1.22,8.94,75,0.76,0.00,2.84,3342,1.87,0.16,3.58,Not Available,Not Available,Not Available,Not Available
010038,STRINGFELLOW MEMORIAL HOSPITAL,301 EAST 18TH ST,,,ANNISTON,AL,36201,CALHOUN,2562358900,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,34,115.70,69.19,162.21,4672,0.35,0.02,0.68,1008,4.62,1.21,8.03,118,0.67,0.00,2.61,4882,1.98,0.65,3.31,Not Available,Not Available,Not Available,Not Available
010039,HUNTSVILLE HOSPITAL,101 SIVLEY RD,,,HUNTSVILLE,AL,35801,MADISON,2562651000,No Different than U.S. National Rate,,No Different than U.S. National Rate,,Better than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,391,133.14,109.54,156.74,28969,0.24,0.06,0.42,10905,3.58,2.46,4.70,979,1.30,0.22,2.38,29981,1.89,1.34,2.44,Not Available,Not Available,Not Available,Not Available
010040,GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE,,,GADSDEN,AL,35903,ETOWAH,2564944000,No Different than U.S. National Rate,,Worse than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,193,105.05,72.14,137.96,8787,0.66,0.39,0.93,2699,4.71,2.34,7.08,257,1.04,0.00,2.63,9063,1.71,0.67,2.75,Not Available,Not Available,Not Available,Not Available
010043,CHILTON MEDICAL CENTER,1010 LAY DAM ROAD,,,CLANTON,AL,35045,CHILTON,2057552500,Not Available,No data are available from the hospital for this measure.,No Different than U.S. National Rate,,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,No Different than U.S. National Rate,,No Different than U.S. National Rate,,Not Available,Not Available,Not Available,Not Available,528,0.32,0.00,0.75,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,543,1.94,0.00,4.27,Not Available,Not Available,Not Available,Not Available
010044,MARION REGIONAL MEDICAL CENTER,1256 MILITARY STREET SOUTH,,,HAMILTON,AL,35570,MARION,2059216200,Not Available,No data are available from the hospital for this measure.,No Different than U.S. National Rate,,No Different than U.S. National Rate,,Number of Cases Too Small*,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,Not Available,Not Available,Not Available,Not Available,1065,0.32,0.00,0.75,35,4.51,0.00,9.59,16,Not Applicable,Not Applicable,Not Applicable,1107,2.13,0.00,4.31,Not Available,Not Available,Not Available,Not Available
010045,FAYETTE MEDICAL CENTER,1653 TEMPLE AVENUE NORTH,,,FAYETTE,AL,35555,FAYETTE,2059325966,Number of Cases Too Small,Medicare requires hospitals to have at least 25 qualifying cases to have their results reported. This hospital had less than 25 cases.,No Different than U.S. National Rate,,No Different than U.S. National Rate,,Number of Cases Too Small*,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,6,Not Available,Not Available,Not Available,1398,0.31,0.00,0.72,51,5.73,0.73,10.73,23,Not Applicable,Not Applicable,Not Applicable,1442,2.00,0.00,4.12,Not Available,Not Available,Not Available,Not Available
010046,RIVERVIEW REGIONAL MEDICAL CENTER,600 SOUTH THIRD STREET,,,GADSDEN,AL,35901,ETOWAH,2565435200,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,Better than U.S. National Rate,,Better than U.S. National Rate,,108,123.37,83.07,163.67,8002,0.16,0.00,0.45,1795,3.85,0.91,6.79,170,0.56,0.00,2.34,8381,0.76,0.00,1.94,Not Available,Not Available,Not Available,Not Available
010047,GEORGIANA HOSPITAL,515 MIRANDA ST,,,GEORGIANA,AL,36033,BUTLER,3343762205,Not Available,No data are available from the hospital for this measure.,No Different than U.S. National Rate,,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,No Different than U.S. National Rate,,No Different than U.S. National Rate,,Not Available,Not Available,Not Available,Not Available,1520,0.32,0.00,0.75,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1583,1.81,0.00,4.06,Not Available,Not Available,Not Available,Not Available
010049,MEDICAL CENTER ENTERPRISE,400 N EDWARDS STREET,,,ENTERPRISE,AL,36330,COFFEE,3343470584,Number of Cases Too Small,Medicare requires hospitals to have at least 25 qualifying cases to have their results reported. This hospital had less than 25 cases.,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,6,Not Available,Not Available,Not Available,3465,0.37,0.00,0.76,575,3.97,0.29,7.65,98,0.79,0.00,2.91,3548,2.40,0.69,4.11,Not Available,Not Available,Not Available,Not Available
010050,ST VINCENTS BLOUNT,150 GILBREATH DRIVE,,,ONEONTA,AL,35121,BLOUNT,2052743000,Not Available,No data are available from the hospital for this measure.,No Different than U.S. National Rate,,No Different than U.S. National Rate,,Number of Cases Too Small*,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,Not Available,Not Available,Not Available,Not Available,1279,0.31,0.00,0.72,64,4.44,0.00,9.48,5,Not Applicable,Not Applicable,Not Applicable,1311,1.71,0.00,3.91,Not Available,Not Available,Not Available,Not Available
010051,GREENE COUNTY HOSPITAL,509 WILSON AVENUE,,,EUTAW,AL,35462,GREENE,2053723388,Not Available,No data are available from the hospital for this measure.,No Different than U.S. National Rate,,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,No Different than U.S. National Rate,,No Different than U.S. National Rate,,Not Available,Not Available,Not Available,Not Available,612,0.34,0.00,0.77,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,616,1.98,0.00,4.33,Not Available,Not Available,Not Available,Not Available
010052,LAKE MARTIN COMMUNITY HOSPITAL,201 MARIARDEN ROAD,,,DADEVILLE,AL,36853,TALLAPOOSA,2568257821,Not Available,No data are available from the hospital for this measure.,No Different than U.S. National Rate,,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,No Different than U.S. National Rate,,No Different than U.S. National Rate,,Not Available,Not Available,Not Available,Not Available,965,0.33,0.00,0.76,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,992,1.88,0.00,4.17,Not Available,Not Available,Not Available,Not Available
010054,PARKWAY MEDICAL CENTER,1874 BELTLINE RD SW,,,DECATUR,AL,35601,MORGAN,2563502211,Number of Cases Too Small,Medicare requires hospitals to have at least 25 qualifying cases to have their results reported. This hospital had less than 25 cases.,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,19,Not Available,Not Available,Not Available,3304,0.35,0.00,0.72,372,5.77,1.65,9.89,84,0.76,0.00,2.82,3403,2.18,0.46,3.90,Not Available,Not Available,Not Available,Not Available
010055,FLOWERS HOSPITAL,4370 WEST MAIN STREET,,,DOTHAN,AL,36305,HOUSTON,3347935000,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,97,144.56,102.81,186.31,9736,0.23,0.00,0.50,3679,3.10,0.94,5.26,315,0.46,0.00,2.07,10048,1.85,0.95,2.75,Not Available,Not Available,Not Available,Not Available
010056,ST VINCENT'S BIRMINGHAM,810 ST VINCENT'S DRIVE,,,BIRMINGHAM,AL,35205,JEFFERSON,2059397000,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,227,133.44,101.22,165.66,16369,0.49,0.25,0.73,6938,5.43,3.74,7.12,555,0.34,0.00,1.73,16407,2.00,1.27,2.73,Not Available,Not Available,Not Available,Not Available
010058,BIBB MEDICAL CENTER,208 PIERSON AVE,,,CENTREVILLE,AL,35042,BIBB,2059264881,Not Available,No data are available from the hospital for this measure.,No Different than U.S. National Rate,,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,No Different than U.S. National Rate,,No Different than U.S. National Rate,,Not Available,Not Available,Not Available,Not Available,269,0.34,0.00,0.77,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,287,2.01,0.00,4.38,Not Available,Not Available,Not Available,Not Available
010059,LAWRENCE MEDICAL CENTER,202 HOSPITAL STREET,,,MOULTON,AL,35650,LAWRENCE,2569742200,Not Available,No data are available from the hospital for this measure.,No Different than U.S. National Rate,,Number of Cases Too Small*,,Not Applicable,No data are available from the hospital for this measure.,No Different than U.S. National Rate,,No Different than U.S. National Rate,,Not Available,Not Available,Not Available,Not Available,1876,0.42,0.01,0.83,11,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1935,1.73,0.00,3.94,Not Available,Not Available,Not Available,Not Available
010061,HIGHLANDS MEDICAL CENTER,380 WOODS COVE ROAD,,,SCOTTSBORO,AL,35768,JACKSON,2562594444,Number of Cases Too Small,Medicare requires hospitals to have at least 25 qualifying cases to have their results reported. This hospital had less than 25 cases.,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,18,Not Available,Not Available,Not Available,3883,0.28,0.00,0.67,273,7.01,2.44,11.58,33,2.03,0.00,4.24,3981,1.90,0.04,3.76,Not Available,Not Available,Not Available,Not Available
010062,WIREGRASS MEDICAL CENTER,1200 W MAPLE AVENUE,,,GENEVA,AL,36340,GENEVA,3346843655,Number of Cases Too Small,Medicare requires hospitals to have at least 25 qualifying cases to have their results reported. This hospital had less than 25 cases.,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,5,Not Available,Not Available,Not Available,1642,0.31,0.00,0.72,94,4.28,0.00,9.22,27,0.87,0.00,3.08,1742,1.49,0.00,3.53,Not Available,Not Available,Not Available,Not Available
010065,RUSSELL HOSPITAL,3316 HIGHWAY 280,,,ALEXANDER CITY,AL,35010,TALLAPOOSA,2563297100,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,Worse than U.S. National Rate,,No Different than U.S. National Rate,,35,92.86,44.29,141.43,3068,0.43,0.06,0.80,659,5.00,1.45,8.55,86,1.75,0.00,3.81,3155,3.72,2.15,5.29,Not Available,Not Available,Not Available,Not Available
010066,FLORALA MEMORIAL HOSPITAL,24273 FIFTH AVENUE,,,FLORALA,AL,36442,COVINGTON,3348583287,Not Available,No data are available from the hospital for this measure.,No Different than U.S. National Rate,,Number of Cases Too Small*,,Not Applicable,No data are available from the hospital for this measure.,No Different than U.S. National Rate,,No Different than U.S. National Rate,,Not Available,Not Available,Not Available,Not Available,571,0.32,0.00,0.75,3,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,576,1.94,0.00,4.27,Not Available,Not Available,Not Available,Not Available
010069,MEDICAL CENTER BARBOUR,820 W WASHINGTON ST,,,EUFAULA,AL,36027,BARBOUR,3346887271,Not Available,No data are available from the hospital for this measure.,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,Not Available,Not Available,Not Available,Not Available,1469,0.32,0.00,0.75,65,4.39,0.00,9.39,28,0.88,0.00,3.11,1494,1.61,0.00,3.75,Not Available,Not Available,Not Available,Not Available
010073,CLAY COUNTY HOSPITAL,83825 HIGHWAY 9    P O BOX 1270,,,ASHLAND,AL,36251,CLAY,2563542131,Not Available,No data are available from the hospital for this measure.,No Different than U.S. National Rate,,Number of Cases Too Small*,,Number of Cases Too Small*,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,Not Available,Not Available,Not Available,Not Available,1249,0.32,0.00,0.75,11,Not Applicable,Not Applicable,Not Applicable,6,Not Applicable,Not Applicable,Not Applicable,1269,1.80,0.00,4.05,Not Available,Not Available,Not Available,Not Available
010078,NORTHEAST ALABAMA REGIONAL MED CENTER,400 EAST 10TH STREET,,,ANNISTON,AL,36207,CALHOUN,2562355121,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,Worse than U.S. National Rate,,Worse than U.S. National Rate,,Worse than U.S. National Rate,,155,132.64,97.69,167.59,9964,0.24,0.00,0.49,3286,4.89,2.68,7.10,313,3.22,1.69,4.75,10694,3.48,2.60,4.36,Not Available,Not Available,Not Available,Not Available
010079,ATHENS-LIMESTONE HOSPITAL,700 WEST MARKET STREET,,,ATHENS,AL,35611,LIMESTONE,2562339292,Number of Cases Too Small,Medicare requires hospitals to have at least 25 qualifying cases to have their results reported. This hospital had less than 25 cases.,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,15,Not Available,Not Available,Not Available,3284,0.33,0.00,0.70,381,6.84,2.94,10.74,74,0.76,0.00,2.84,3404,2.15,0.44,3.86,Not Available,Not Available,Not Available,Not Available
